X1,Y1,X2,Y2,X3,Y3,Vel
-0.006645,-0.019059,0.002479,-0.029671,0.008173,-0.016100,0.005643
0.008173,-0.016100,-0.003557,-0.002284,-0.006645,-0.019059,-0.001461
0.002479,-0.029671,0.016838,-0.028922,0.008173,-0.016100,0.000159
-0.006645,-0.019059,-0.009193,-0.030800,0.002479,-0.029671,-0.000943
0.006323,0.012898,-0.001099,0.027443,-0.009951,0.014609,0.004448
-0.009951,0.014609,-0.003557,-0.002284,0.006323,0.012898,-0.000309
-0.001099,0.027443,-0.016667,0.028656,-0.009951,0.014609,0.000052
0.006323,0.012898,0.014931,0.026736,-0.001099,0.027443,0.000975
0.022907,0.012572,0.006323,0.012898,0.014908,-0.001535,0.001356
0.014908,-0.001535,0.031022,-0.001428,0.022907,0.012572,0.001354
0.006323,0.012898,-0.003557,-0.002284,0.014908,-0.001535,0.000598
0.022907,0.012572,0.014931,0.026736,0.006323,0.012898,0.002199
0.023843,-0.015338,0.032295,-0.028778,0.039636,-0.014863,0.001791
0.039636,-0.014863,0.031022,-0.001428,0.023843,-0.015338,0.000701
0.032295,-0.028778,0.050290,-0.029167,0.039636,-0.014863,0.001722
0.023843,-0.015338,0.016838,-0.028922,0.032295,-0.028778,0.000990
0.046018,-0.001339,0.054359,0.010606,0.039159,0.012360,-0.001174
0.039159,0.012360,0.031022,-0.001428,0.046018,-0.001339,0.001369
0.054359,0.010606,0.049850,0.027214,0.039159,0.012360,0.003853
0.046018,-0.001339,0.058069,-0.001113,0.054359,0.010606,0.001627
0.002479,-0.029671,-0.004441,-0.041349,0.009473,-0.041767,0.002476
0.009473,-0.041767,0.016838,-0.028922,0.002479,-0.029671,0.002316
-0.004441,-0.041349,0.001608,-0.054058,0.009473,-0.041767,0.001456
0.002479,-0.029671,-0.009193,-0.030800,-0.004441,-0.041349,0.002272
-0.030927,-0.032508,-0.018017,-0.038785,-0.019124,-0.024947,0.008998
-0.019124,-0.024947,-0.030937,-0.017933,-0.030927,-0.032508,-0.005269
-0.018017,-0.038785,-0.009193,-0.030800,-0.019124,-0.024947,-0.003529
-0.030927,-0.032508,-0.030350,-0.049828,-0.018017,-0.038785,-0.003670
0.024162,-0.041985,0.009473,-0.041767,0.016294,-0.054634,0.001712
0.016294,-0.054634,0.030905,-0.055222,0.024162,-0.041985,0.003559
0.009473,-0.041767,0.001608,-0.054058,0.016294,-0.054634,0.003584
0.024162,-0.041985,0.016838,-0.028922,0.009473,-0.041767,0.002248
-0.030855,-0.004163,-0.041858,0.003239,-0.042771,-0.010417,-0.002447
-0.042771,-0.010417,-0.030937,-0.017933,-0.030855,-0.004163,0.007933
-0.041858,0.003239,-0.054463,-0.002253,-0.042771,-0.010417,0.008067
-0.030855,-0.004163,-0.031249,0.007298,-0.041858,0.003239,0.007447
-0.013348,-0.052735,-0.004441,-0.041349,-0.018017,-0.038785,-0.000380
-0.018017,-0.038785,-0.030350,-0.049828,-0.013348,-0.052735,0.006981
-0.004441,-0.041349,-0.009193,-0.030800,-0.018017,-0.038785,0.005234
-0.013348,-0.052735,0.001608,-0.054058,-0.004441,-0.041349,0.004800
-0.031960,0.029415,-0.038771,0.016607,-0.024699,0.016830,0.000579
-0.024699,0.016830,-0.016667,0.028656,-0.031960,0.029415,0.000559
-0.038771,0.016607,-0.031249,0.007298,-0.024699,0.016830,0.001191
-0.031960,0.029415,-0.049604,0.029539,-0.038771,0.016607,0.001540
-0.043273,-0.024699,-0.042771,-0.010417,-0.055200,-0.016688,0.008068
-0.055200,-0.016688,-0.055902,-0.031210,-0.043273,-0.024699,-0.005170
-0.042771,-0.010417,-0.054463,-0.002253,-0.055200,-0.016688,-0.003379
-0.043273,-0.024699,-0.030937,-0.017933,-0.042771,-0.010417,-0.004489
-0.052769,0.012575,-0.041858,0.003239,-0.038771,0.016607,0.007469
-0.038771,0.016607,-0.049604,0.029539,-0.052769,0.012575,-0.003659
-0.041858,0.003239,-0.031249,0.007298,-0.038771,0.016607,-0.001997
-0.052769,0.012575,-0.054463,-0.002253,-0.041858,0.003239,-0.003077
-0.030855,-0.004163,-0.018441,-0.010822,-0.019746,0.003595,0.006689
-0.019746,0.003595,-0.031249,0.007298,-0.030855,-0.004163,-0.003714
-0.018441,-0.010822,-0.003557,-0.002284,-0.019746,0.003595,-0.005744
-0.030855,-0.004163,-0.030937,-0.017933,-0.018441,-0.010822,-0.003577
0.038653,0.041071,0.022811,0.040408,0.031396,0.026662,0.002918
0.031396,0.026662,0.049850,0.027214,0.038653,0.041071,0.001233
0.022811,0.040408,0.014931,0.026736,0.031396,0.026662,0.002199
0.038653,0.041071,0.030077,0.053923,0.022811,0.040408,0.001235
-0.015640,0.054585,-0.023684,0.042062,-0.008338,0.041246,0.002970
-0.008338,0.041246,-0.000438,0.054074,-0.015640,0.054585,0.001305
-0.023684,0.042062,-0.016667,0.028656,-0.008338,0.041246,0.000974
-0.015640,0.054585,-0.030514,0.055373,-0.023684,0.042062,0.000809
0.038653,0.041071,0.053701,0.044104,0.044495,0.054743,-0.002871
0.044495,0.054743,0.030077,0.053923,0.038653,0.041071,0.003174
0.053701,0.044104,0.056344,0.056022,0.044495,0.054743,0.004438
0.038653,0.041071,0.049850,0.027214,0.053701,0.044104,0.005191
0.014818,0.053720,0.007075,0.040609,0.022811,0.040408,0.002406
0.022811,0.040408,0.030077,0.053923,0.014818,0.053720,0.002327
0.007075,0.040609,0.014931,0.026736,0.022811,0.040408,0.001895
0.014818,0.053720,-0.000438,0.054074,0.007075,0.040609,0.001578
0.054691,-0.012800,0.066267,-0.022100,0.067808,-0.007779,0.005883
0.067808,-0.007779,0.058069,-0.001113,0.054691,-0.012800,-0.004696
0.066267,-0.022100,0.079722,-0.015319,0.067808,-0.007779,-0.004947
0.054691,-0.012800,0.050290,-0.029167,0.066267,-0.022100,-0.004308
0.066115,0.020278,0.079213,0.028454,0.065858,0.035701,-0.005088
0.065858,0.035701,0.049850,0.027214,0.066115,0.020278,0.010333
0.079213,0.028454,0.079173,0.043367,0.065858,0.035701,0.008009
0.066115,0.020278,0.079659,0.013627,0.079213,0.028454,0.008341
0.045010,-0.056274,0.054039,-0.045798,0.039417,-0.042888,-0.002690
0.039417,-0.042888,0.030905,-0.055222,0.045010,-0.056274,0.004245
0.054039,-0.045798,0.050290,-0.029167,0.039417,-0.042888,0.004890
0.045010,-0.056274,0.056643,-0.057551,0.054039,-0.045798,0.005214
0.067691,0.005802,0.067808,-0.007779,0.079977,-0.000887,-0.005137
0.079977,-0.000887,0.079659,0.013627,0.067691,0.005802,0.008638
0.067808,-0.007779,0.079722,-0.015319,0.079977,-0.000887,0.007803
0.067691,0.005802,0.058069,-0.001113,0.067808,-0.007779,0.006683
0.051781,-0.068175,0.060670,-0.079682,0.065704,-0.065778,0.005333
0.065704,-0.065778,0.056643,-0.057551,0.051781,-0.068175,-0.001294
0.060670,-0.079682,0.078396,-0.077355,0.065704,-0.065778,-0.002618
0.051781,-0.068175,0.045407,-0.080556,0.060670,-0.079682,0.000015
0.079427,-0.030013,0.066267,-0.022100,0.066026,-0.037321,-0.004955
0.066026,-0.037321,0.079417,-0.044843,0.079427,-0.030013,0.007067
0.066267,-0.022100,0.050290,-0.029167,0.066026,-0.037321,0.008695
0.079427,-0.030013,0.079722,-0.015319,0.066267,-0.022100,0.006849
0.045010,-0.056274,0.037809,-0.068115,0.051781,-0.068175,0.002769
0.051781,-0.068175,0.056643,-0.057551,0.045010,-0.056274,0.001208
0.037809,-0.068115,0.045407,-0.080556,0.051781,-0.068175,0.002582
0.045010,-0.056274,0.030905,-0.055222,0.037809,-0.068115,0.000947
0.066887,-0.051779,0.066026,-0.037321,0.054039,-0.045798,0.007556
0.054039,-0.045798,0.056643,-0.057551,0.066887,-0.051779,-0.005359
0.066026,-0.037321,0.050290,-0.029167,0.054039,-0.045798,-0.004707
0.066887,-0.051779,0.079417,-0.044843,0.066026,-0.037321,-0.005372
0.032295,-0.028778,0.024162,-0.041985,0.039417,-0.042888,0.003018
0.039417,-0.042888,0.050290,-0.029167,0.032295,-0.028778,0.000718
0.024162,-0.041985,0.030905,-0.055222,0.039417,-0.042888,0.000810
0.032295,-0.028778,0.016838,-0.028922,0.024162,-0.041985,0.001398
-0.022120,-0.065518,-0.006638,-0.066476,-0.013348,-0.052735,0.003973
-0.013348,-0.052735,-0.030350,-0.049828,-0.022120,-0.065518,-0.001107
-0.006638,-0.066476,0.001608,-0.054058,-0.013348,-0.052735,0.000747
-0.022120,-0.065518,-0.014628,-0.079304,-0.006638,-0.066476,0.000960
-0.043906,-0.039490,-0.056788,-0.045074,-0.046385,-0.053916,0.007287
-0.046385,-0.053916,-0.030350,-0.049828,-0.043906,-0.039490,-0.005052
-0.056788,-0.045074,-0.057871,-0.056612,-0.046385,-0.053916,-0.004148
-0.043906,-0.039490,-0.055902,-0.031210,-0.056788,-0.045074,-0.004002
0.000549,-0.079798,0.008380,-0.067126,-0.006638,-0.066476,0.001626
-0.006638,-0.066476,-0.014628,-0.079304,0.000549,-0.079798,0.003225
0.008380,-0.067126,0.001608,-0.054058,-0.006638,-0.066476,0.003677
0.000549,-0.079798,0.015612,-0.080250,0.008380,-0.067126,0.003162
-0.068352,-0.051787,-0.056788,-0.045074,-0.068381,-0.037922,-0.003187
-0.068381,-0.037922,-0.080749,-0.045362,-0.068352,-0.051787,0.009180
-0.056788,-0.045074,-0.055902,-0.031210,-0.068381,-0.037922,0.008645
-0.068352,-0.051787,-0.057871,-0.056612,-0.056788,-0.045074,0.008846
-0.079904,-0.060591,-0.066001,-0.065558,-0.068352,-0.051787,0.009667
-0.068352,-0.051787,-0.080749,-0.045362,-0.079904,-0.060591,-0.004905
-0.066001,-0.065558,-0.057871,-0.056612,-0.068352,-0.051787,-0.003987
-0.079904,-0.060591,-0.077531,-0.078399,-0.066001,-0.065558,-0.005683
-0.055200,-0.016688,-0.067374,-0.008674,-0.067986,-0.023491,-0.004251
-0.067986,-0.023491,-0.055902,-0.031210,-0.055200,-0.016688,0.008332
-0.067374,-0.008674,-0.080359,-0.015721,-0.067986,-0.023491,0.008339
-0.055200,-0.016688,-0.054463,-0.002253,-0.067374,-0.008674,0.008130
-0.029844,-0.079083,-0.022120,-0.065518,-0.037580,-0.065719,0.002373
-0.037580,-0.065719,-0.044913,-0.079253,-0.029844,-0.079083,0.001308
-0.022120,-0.065518,-0.030350,-0.049828,-0.037580,-0.065719,0.001688
-0.029844,-0.079083,-0.014628,-0.079304,-0.022120,-0.065518,0.002404
-0.043906,-0.039490,-0.030927,-0.032508,-0.043273,-0.024699,-0.005995
-0.043273,-0.024699,-0.055902,-0.031210,-0.043906,-0.039490,0.008247
-0.030927,-0.032508,-0.030937,-0.017933,-0.043273,-0.024699,0.008198
-0.043906,-0.039490,-0.030350,-0.049828,-0.030927,-0.032508,0.007732
-0.052769,0.012575,-0.065415,0.021707,-0.066516,0.006200,-0.006121
-0.066516,0.006200,-0.054463,-0.002253,-0.052769,0.012575,0.008133
-0.065415,0.021707,-0.079295,0.014429,-0.066516,0.006200,0.008032
-0.052769,0.012575,-0.049604,0.029539,-0.065415,0.021707,0.007853
-0.068381,-0.037922,-0.067986,-0.023491,-0.080717,-0.030626,0.008600
-0.080717,-0.030626,-0.080749,-0.045362,-0.068381,-0.037922,-0.003910
-0.067986,-0.023491,-0.080359,-0.015721,-0.080717,-0.030626,-0.004348
-0.068381,-0.037922,-0.055902,-0.031210,-0.067986,-0.023491,-0.004325
-0.044681,0.056415,-0.053607,0.045878,-0.038979,0.043109,0.006344
-0.038979,0.043109,-0.030514,0.055373,-0.044681,0.056415,0.000356
-0.053607,0.045878,-0.049604,0.029539,-0.038979,0.043109,-0.001047
-0.044681,0.056415,-0.056333,0.057573,-0.053607,0.045878,-0.000496
-0.051555,0.068179,-0.060529,0.079658,-0.065493,0.065727,-0.001203
-0.065493,0.065727,-0.056333,0.057573,-0.051555,0.068179,0.005391
-0.060529,0.079658,-0.078233,0.077209,-0.065493,0.065727,0.006353
-0.051555,0.068179,-0.045222,0.080555,-0.060529,0.079658,0.003617
-0.079034,0.029622,-0.065415,0.021707,-0.065531,0.037222,0.008220
-0.065531,0.037222,-0.079178,0.044647,-0.079034,0.029622,-0.005224
-0.065415,0.021707,-0.049604,0.029539,-0.065531,0.037222,-0.007574
-0.079034,0.029622,-0.079295,0.014429,-0.065415,0.021707,-0.006107
-0.044681,0.056415,-0.037550,0.068144,-0.051555,0.068179,0.001557
-0.051555,0.068179,-0.056333,0.057573,-0.044681,0.056415,0.002891
-0.037550,0.068144,-0.045222,0.080555,-0.051555,0.068179,0.001662
-0.044681,0.056415,-0.030514,0.055373,-0.037550,0.068144,0.003339
-0.066605,0.051702,-0.065531,0.037222,-0.053607,0.045878,-0.003632
-0.053607,0.045878,-0.056333,0.057573,-0.066605,0.051702,0.009109
-0.065531,0.037222,-0.049604,0.029539,-0.053607,0.045878,0.008252
-0.066605,0.051702,-0.079178,0.044647,-0.065531,0.037222,0.008982
0.022417,0.066832,0.007294,0.067003,0.014818,0.053720,0.001906
0.014818,0.053720,0.030077,0.053923,0.022417,0.066832,0.001756
0.007294,0.067003,-0.000438,0.054074,0.014818,0.053720,0.002571
0.022417,0.066832,0.014960,0.079870,0.007294,0.067003,0.002412
-0.030305,0.080605,-0.037550,0.068144,-0.022862,0.067744,0.002435
-0.022862,0.067744,-0.015303,0.080395,-0.030305,0.080605,0.001459
-0.037550,0.068144,-0.030514,0.055373,-0.022862,0.067744,0.001237
-0.030305,0.080605,-0.045222,0.080555,-0.037550,0.068144,0.001849
0.051382,0.066608,0.037246,0.066825,0.044495,0.054743,0.001842
0.044495,0.054743,0.056344,0.056022,0.051382,0.066608,0.000716
0.037246,0.066825,0.030077,0.053923,0.044495,0.054743,0.000778
0.051382,0.066608,0.045047,0.079425,0.037246,0.066825,0.002480
-0.038979,0.043109,-0.031960,0.029415,-0.023684,0.042062,0.000626
-0.023684,0.042062,-0.030514,0.055373,-0.038979,0.043109,0.003194
-0.031960,0.029415,-0.016667,0.028656,-0.023684,0.042062,0.003045
-0.038979,0.043109,-0.049604,0.029539,-0.031960,0.029415,0.001911
0.066574,0.050289,0.078940,0.058578,0.065246,0.064346,-0.006049
0.065246,0.064346,0.056344,0.056022,0.066574,0.050289,0.006893
0.078940,0.058578,0.077965,0.076127,0.065246,0.064346,0.008022
0.066574,0.050289,0.079173,0.043367,0.078940,0.058578,0.008811
0.030038,0.079729,0.022417,0.066832,0.037246,0.066825,0.002148
0.037246,0.066825,0.045047,0.079425,0.030038,0.079729,0.001503
0.022417,0.066832,0.030077,0.053923,0.037246,0.066825,0.002129
0.030038,0.079729,0.014960,0.079870,0.022417,0.066832,0.001878
0.079213,0.028454,0.092424,0.021315,0.092242,0.036166,0.007748
0.092242,0.036166,0.079173,0.043367,0.079213,0.028454,-0.005382
0.092424,0.021315,0.105486,0.029032,0.092242,0.036166,-0.005213
0.079213,0.028454,0.079659,0.013627,0.092424,0.021315,-0.005134
0.092509,0.066308,0.078940,0.058578,0.092228,0.051096,0.010405
0.092228,0.051096,0.105351,0.058477,0.092509,0.066308,-0.005455
0.078940,0.058578,0.079173,0.043367,0.092228,0.051096,-0.005590
0.092509,0.066308,0.077965,0.076127,0.078940,0.058578,-0.004791
0.092228,0.051096,0.092242,0.036166,0.105312,0.043772,-0.005350
0.105312,0.043772,0.105351,0.058477,0.092228,0.051096,0.009433
0.092242,0.036166,0.105486,0.029032,0.105312,0.043772,0.008124
0.092228,0.051096,0.079173,0.043367,0.092242,0.036166,0.008717
-0.000180,0.080149,-0.007857,0.067341,0.007294,0.067003,0.002657
0.007294,0.067003,0.014960,0.079870,-0.000180,0.080149,0.001588
-0.007857,0.067341,-0.000438,0.054074,0.007294,0.067003,0.001659
