X1,Y1,X2,Y2,X3,Y3,Vel
-0.006645,-0.019059,0.002479,-0.029671,0.008173,-0.016100,-0.072711
0.008173,-0.016100,-0.003557,-0.002284,-0.006645,-0.019059,-0.037146
0.002479,-0.029671,0.016838,-0.028922,0.008173,-0.016100,-0.070409
-0.006645,-0.019059,-0.009193,-0.030800,0.002479,-0.029671,-0.078374
0.006323,0.012898,-0.001099,0.027443,-0.009951,0.014609,0.058407
-0.009951,0.014609,-0.003557,-0.002284,0.006323,0.012898,0.013153
-0.001099,0.027443,-0.016667,0.028656,-0.009951,0.014609,0.061439
0.006323,0.012898,0.014931,0.026736,-0.001099,0.027443,0.056635
0.022907,0.012572,0.006323,0.012898,0.014908,-0.001535,0.013014
0.014908,-0.001535,0.031022,-0.001428,0.022907,0.012572,0.013015
0.006323,0.012898,-0.003557,-0.002284,0.014908,-0.001535,0.012563
0.022907,0.012572,0.014931,0.026736,0.006323,0.012898,0.055874
0.023843,-0.015338,0.032295,-0.028778,0.039636,-0.014863,-0.067891
0.039636,-0.014863,0.031022,-0.001428,0.023843,-0.015338,-0.031594
0.032295,-0.028778,0.050290,-0.029167,0.039636,-0.014863,-0.067854
0.023843,-0.015338,0.016838,-0.028922,0.032295,-0.028778,-0.068395
0.046018,-0.001339,0.054359,0.010606,0.039159,0.012360,0.011867
0.039159,0.012360,0.031022,-0.001428,0.046018,-0.001339,0.013140
0.054359,0.010606,0.049850,0.027214,0.039159,0.012360,0.055434
0.046018,-0.001339,0.058069,-0.001113,0.054359,0.010606,0.009911
0.002479,-0.029671,-0.004441,-0.041349,0.009473,-0.041767,-0.111706
0.009473,-0.041767,0.016838,-0.028922,0.002479,-0.029671,-0.111798
-0.004441,-0.041349,0.001608,-0.054058,0.009473,-0.041767,-0.145623
0.002479,-0.029671,-0.009193,-0.030800,-0.004441,-0.041349,-0.111584
-0.030927,-0.032508,-0.018017,-0.038785,-0.019124,-0.024947,-0.099564
-0.019124,-0.024947,-0.030937,-0.017933,-0.030927,-0.032508,-0.077293
-0.018017,-0.038785,-0.009193,-0.030800,-0.019124,-0.024947,-0.100567
-0.030927,-0.032508,-0.030350,-0.049828,-0.018017,-0.038785,-0.125619
0.024162,-0.041985,0.009473,-0.041767,0.016294,-0.054634,-0.147978
0.016294,-0.054634,0.030905,-0.055222,0.024162,-0.041985,-0.149126
0.009473,-0.041767,0.001608,-0.054058,0.016294,-0.054634,-0.146985
0.024162,-0.041985,0.016838,-0.028922,0.009473,-0.041767,-0.111759
-0.030855,-0.004163,-0.041858,0.003239,-0.042771,-0.010417,-0.014816
-0.042771,-0.010417,-0.030937,-0.017933,-0.030855,-0.004163,-0.034596
-0.041858,0.003239,-0.054463,-0.002253,-0.042771,-0.010417,-0.015519
-0.030855,-0.004163,-0.031249,0.007298,-0.041858,0.003239,-0.000109
-0.013348,-0.052735,-0.004441,-0.041349,-0.018017,-0.038785,-0.139979
-0.018017,-0.038785,-0.030350,-0.049828,-0.013348,-0.052735,-0.137515
-0.004441,-0.041349,-0.009193,-0.030800,-0.018017,-0.038785,-0.110250
-0.013348,-0.052735,0.001608,-0.054058,-0.004441,-0.041349,-0.144031
-0.031960,0.029415,-0.038771,0.016607,-0.024699,0.016830,0.065881
-0.024699,0.016830,-0.016667,0.028656,-0.031960,0.029415,0.065869
-0.038771,0.016607,-0.031249,0.007298,-0.024699,0.016830,0.027148
-0.031960,0.029415,-0.049604,0.029539,-0.038771,0.016607,0.065370
-0.043273,-0.024699,-0.042771,-0.010417,-0.055200,-0.016688,-0.054596
-0.055200,-0.016688,-0.055902,-0.031210,-0.043273,-0.024699,-0.074306
-0.042771,-0.010417,-0.054463,-0.002253,-0.055200,-0.016688,-0.031912
-0.043273,-0.024699,-0.030937,-0.017933,-0.042771,-0.010417,-0.054155
-0.052769,0.012575,-0.041858,0.003239,-0.038771,0.016607,0.022388
-0.038771,0.016607,-0.049604,0.029539,-0.052769,0.012575,0.061015
-0.041858,0.003239,-0.031249,0.007298,-0.038771,0.016607,0.024573
-0.052769,0.012575,-0.054463,-0.002253,-0.041858,0.003239,0.010061
-0.030855,-0.004163,-0.018441,-0.010822,-0.019746,0.003595,-0.015390
-0.019746,0.003595,-0.031249,0.007298,-0.030855,-0.004163,-0.000493
-0.018441,-0.010822,-0.003557,-0.002284,-0.019746,0.003595,-0.016515
-0.030855,-0.004163,-0.030937,-0.017933,-0.018441,-0.010822,-0.034528
0.038653,0.041071,0.022811,0.040408,0.031396,0.026662,0.109641
0.031396,0.026662,0.049850,0.027214,0.038653,0.041071,0.110490
0.022811,0.040408,0.014931,0.026736,0.031396,0.026662,0.109192
0.038653,0.041071,0.030077,0.053923,0.022811,0.040408,0.149814
-0.015640,0.054585,-0.023684,0.042062,-0.008338,0.041246,0.152453
-0.008338,0.041246,-0.000438,0.054074,-0.015640,0.054585,0.151541
-0.023684,0.042062,-0.016667,0.028656,-0.008338,0.041246,0.114900
-0.015640,0.054585,-0.030514,0.055373,-0.023684,0.042062,0.153841
0.038653,0.041071,0.053701,0.044104,0.044495,0.054743,0.153692
0.044495,0.054743,0.030077,0.053923,0.038653,0.041071,0.151109
0.053701,0.044104,0.056344,0.056022,0.044495,0.054743,0.160016
0.038653,0.041071,0.049850,0.027214,0.053701,0.044104,0.113688
0.014818,0.053720,0.007075,0.040609,0.022811,0.040408,0.149275
0.022811,0.040408,0.030077,0.053923,0.014818,0.053720,0.149227
0.007075,0.040609,0.014931,0.026736,0.022811,0.040408,0.109368
0.014818,0.053720,-0.000438,0.054074,0.007075,0.040609,0.149764
0.054691,-0.012800,0.066267,-0.022100,0.067808,-0.007779,-0.051916
0.067808,-0.007779,0.058069,-0.001113,0.054691,-0.012800,-0.024281
0.066267,-0.022100,0.079722,-0.015319,0.067808,-0.007779,-0.050750
0.054691,-0.012800,0.050290,-0.029167,0.066267,-0.022100,-0.064602
0.066115,0.020278,0.079213,0.028454,0.065858,0.035701,0.087122
0.065858,0.035701,0.049850,0.027214,0.066115,0.020278,0.087379
0.079213,0.028454,0.079173,0.043367,0.065858,0.035701,0.111256
0.066115,0.020278,0.079659,0.013627,0.079213,0.028454,0.065606
0.045010,-0.056274,0.054039,-0.045798,0.039417,-0.042888,-0.155795
0.039417,-0.042888,0.030905,-0.055222,0.045010,-0.056274,-0.152898
0.054039,-0.045798,0.050290,-0.029167,0.039417,-0.042888,-0.117701
0.045010,-0.056274,0.056643,-0.057551,0.054039,-0.045798,-0.162606
0.067691,0.005802,0.067808,-0.007779,0.079977,-0.000887,-0.007756
0.079977,-0.000887,0.079659,0.013627,0.067691,0.005802,0.017546
0.067808,-0.007779,0.079722,-0.015319,0.079977,-0.000887,-0.030603
0.067691,0.005802,0.058069,-0.001113,0.067808,-0.007779,-0.007655
0.051781,-0.068175,0.060670,-0.079682,0.065704,-0.065778,-0.236425
0.065704,-0.065778,0.056643,-0.057551,0.051781,-0.068175,-0.197938
0.060670,-0.079682,0.078396,-0.077355,0.065704,-0.065778,-0.233546
0.051781,-0.068175,0.045407,-0.080556,0.060670,-0.079682,-0.240533
0.079427,-0.030013,0.066267,-0.022100,0.066026,-0.037321,-0.093786
0.066026,-0.037321,0.079417,-0.044843,0.079427,-0.030013,-0.115829
0.066267,-0.022100,0.050290,-0.029167,0.066026,-0.037321,-0.094002
0.079427,-0.030013,0.079722,-0.015319,0.066267,-0.022100,-0.074156
0.045010,-0.056274,0.037809,-0.068115,0.051781,-0.068175,-0.198195
0.051781,-0.068175,0.056643,-0.057551,0.045010,-0.056274,-0.199084
0.037809,-0.068115,0.045407,-0.080556,0.051781,-0.068175,-0.241854
0.045010,-0.056274,0.030905,-0.055222,0.037809,-0.068115,-0.197087
0.066887,-0.051779,0.066026,-0.037321,0.054039,-0.045798,-0.137206
0.054039,-0.045798,0.056643,-0.057551,0.066887,-0.051779,-0.164949
0.066026,-0.037321,0.050290,-0.029167,0.054039,-0.045798,-0.119864
0.066887,-0.051779,0.079417,-0.044843,0.066026,-0.037321,-0.137976
0.032295,-0.028778,0.024162,-0.041985,0.039417,-0.042888,-0.113234
0.039417,-0.042888,0.050290,-0.029167,0.032295,-0.028778,-0.114395
0.024162,-0.041985,0.030905,-0.055222,0.039417,-0.042888,-0.150527
0.032295,-0.028778,0.016838,-0.028922,0.024162,-0.041985,-0.112236
-0.022120,-0.065518,-0.006638,-0.066476,-0.013348,-0.052735,-0.188296
-0.013348,-0.052735,-0.030350,-0.049828,-0.022120,-0.065518,-0.184809
-0.006638,-0.066476,0.001608,-0.054058,-0.013348,-0.052735,-0.189871
-0.022120,-0.065518,-0.014628,-0.079304,-0.006638,-0.066476,-0.236982
-0.043906,-0.039490,-0.056788,-0.045074,-0.046385,-0.053916,-0.144123
-0.046385,-0.053916,-0.030350,-0.049828,-0.043906,-0.039490,-0.142002
-0.056788,-0.045074,-0.057871,-0.056612,-0.046385,-0.053916,-0.157576
-0.043906,-0.039490,-0.055902,-0.031210,-0.056788,-0.045074,-0.118079
0.000549,-0.079798,0.008380,-0.067126,-0.006638,-0.066476,-0.239256
-0.006638,-0.066476,-0.014628,-0.079304,0.000549,-0.079798,-0.238393
0.008380,-0.067126,0.001608,-0.054058,-0.006638,-0.066476,-0.191817
0.000549,-0.079798,0.015612,-0.080250,0.008380,-0.067126,-0.240205
-0.068352,-0.051787,-0.056788,-0.045074,-0.068381,-0.037922,-0.138068
-0.068381,-0.037922,-0.080749,-0.045362,-0.068352,-0.051787,-0.138042
-0.056788,-0.045074,-0.055902,-0.031210,-0.068381,-0.037922,-0.118887
-0.068352,-0.051787,-0.057871,-0.056612,-0.056788,-0.045074,-0.158797
-0.079904,-0.060591,-0.066001,-0.065558,-0.068352,-0.051787,-0.184339
-0.068352,-0.051787,-0.080749,-0.045362,-0.079904,-0.060591,-0.165218
-0.066001,-0.065558,-0.057871,-0.056612,-0.068352,-0.051787,-0.186670
-0.079904,-0.060591,-0.077531,-0.078399,-0.066001,-0.065558,-0.227301
-0.055200,-0.016688,-0.067374,-0.008674,-0.067986,-0.023491,-0.051306
-0.067986,-0.023491,-0.055902,-0.031210,-0.055200,-0.016688,-0.074959
-0.067374,-0.008674,-0.080359,-0.015721,-0.067986,-0.023491,-0.051826
-0.055200,-0.016688,-0.054463,-0.002253,-0.067374,-0.008674,-0.032499
-0.029844,-0.079083,-0.022120,-0.065518,-0.037580,-0.065719,-0.236180
-0.037580,-0.065719,-0.044913,-0.079253,-0.029844,-0.079083,-0.236796
-0.022120,-0.065518,-0.030350,-0.049828,-0.037580,-0.065719,-0.183343
-0.029844,-0.079083,-0.014628,-0.079304,-0.022120,-0.065518,-0.236197
-0.043906,-0.039490,-0.030927,-0.032508,-0.043273,-0.024699,-0.099724
-0.043273,-0.024699,-0.055902,-0.031210,-0.043906,-0.039490,-0.100333
-0.030927,-0.032508,-0.030937,-0.017933,-0.043273,-0.024699,-0.077284
-0.043906,-0.039490,-0.030350,-0.049828,-0.030927,-0.032508,-0.125239
-0.052769,0.012575,-0.065415,0.021707,-0.066516,0.006200,0.039516
-0.066516,0.006200,-0.054463,-0.002253,-0.052769,0.012575,0.008781
-0.065415,0.021707,-0.079295,0.014429,-0.066516,0.006200,0.038512
-0.052769,0.012575,-0.049604,0.029539,-0.065415,0.021707,0.058867
-0.068381,-0.037922,-0.067986,-0.023491,-0.080717,-0.030626,-0.095129
-0.080717,-0.030626,-0.080749,-0.045362,-0.068381,-0.037922,-0.116280
-0.067986,-0.023491,-0.080359,-0.015721,-0.080717,-0.030626,-0.072028
-0.068381,-0.037922,-0.055902,-0.031210,-0.067986,-0.023491,-0.094776
-0.044681,0.056415,-0.053607,0.045878,-0.038979,0.043109,0.159590
-0.038979,0.043109,-0.030514,0.055373,-0.044681,0.056415,0.157024
-0.053607,0.045878,-0.049604,0.029539,-0.038979,0.043109,0.120540
-0.044681,0.056415,-0.056333,0.057573,-0.053607,0.045878,0.165384
-0.051555,0.068179,-0.060529,0.079658,-0.065493,0.065727,0.235814
-0.065493,0.065727,-0.056333,0.057573,-0.051555,0.068179,0.198331
-0.060529,0.079658,-0.078233,0.077209,-0.065493,0.065727,0.233121
-0.051555,0.068179,-0.045222,0.080555,-0.060529,0.079658,0.239581
-0.079034,0.029622,-0.065415,0.021707,-0.065531,0.037222,0.090129
-0.065531,0.037222,-0.079178,0.044647,-0.079034,0.029622,0.114017
-0.065415,0.021707,-0.049604,0.029539,-0.065531,0.037222,0.090011
-0.079034,0.029622,-0.079295,0.014429,-0.065415,0.021707,0.065479
-0.044681,0.056415,-0.037550,0.068144,-0.051555,0.068179,0.198678
-0.051555,0.068179,-0.056333,0.057573,-0.044681,0.056415,0.199458
-0.037550,0.068144,-0.045222,0.080555,-0.051555,0.068179,0.240582
-0.044681,0.056415,-0.030514,0.055373,-0.037550,0.068144,0.197595
-0.066605,0.051702,-0.065531,0.037222,-0.053607,0.045878,0.139189
-0.053607,0.045878,-0.056333,0.057573,-0.066605,0.051702,0.167623
-0.065531,0.037222,-0.049604,0.029539,-0.053607,0.045878,0.122819
-0.066605,0.051702,-0.079178,0.044647,-0.065531,0.037222,0.140125
0.022417,0.066832,0.007294,0.067003,0.014818,0.053720,0.192159
0.014818,0.053720,0.030077,0.053923,0.022417,0.066832,0.192246
